hole_id,Sample_id,depth_from,depth_to,fe,sio2,al2o3,loi,p,,loi,,bin
B09,,69.54,71.35,66.6,1.9,1.06,1.6,0.04,,,,
B09,,71.35,73.5,65.5,3.1,1.25,1.55,0.04,,,,
B09,,73.5,75.6,67.1,1.9,0.75,1.2,0.04,,,,
B09,,75.6,77.75,66.8,2,0.78,1.5,0.04,,,,
B09,,77.75,79.9,64,4,1.98,2,0.06,,,,
B09,,79.9,82.65,65.7,2.44,1.11,2.1,0.05,,,,
B09,,82.65,84.5,65,3.2,1.25,2.2,0.04,,,,
B09,,84.5,86.3,66,2.9,0.82,1.6,0.04,,,,
B09,,86.3,88.45,65,3.8,1.05,1.9,0.05,,,,
B09,,88.45,89.95,62,8.18,0.84,1.88,0.04,,,,
B09,,89.95,91.8,57.6,15.3,0.73,1.3,0.05,,,,
B10,,0,2.45,52.5,8.2,5.9,10.8,0.06,,,,
B10,,2.45,4.25,58.6,3,3.8,8.9,0.05,,,,
B10,,4.25,6.35,62.2,1.5,1.05,8,0.06,,,,
B10,,6.35,8.5,61.8,2.26,1.47,7.5,0.06,,,,
B10,,8.5,10.65,49.4,8.04,9.72,11,0.07,,,,
B10,,10.65,13.1,60,2.2,2.4,9.2,0.06,,,,
B10,,13.1,14.65,60.5,3.5,2.88,6.6,0.06,,,,
B10,,14.65,17.05,60,4.6,3.5,5.6,0.07,,,,
B10,,17.05,19.5,61.7,2.4,4.02,4.8,0.06,,,,
B10,,19.5,21.3,64,2,2.75,3.3,0.06,,,,
B10,,21.3,23.45,64,2.96,1.82,3.3,0.06,,,,
B10,,23.45,24.95,66.5,0.5,1.1,2.7,0.06,,,,
B10,,24.95,26.17,67,1,0.59,2.4,0.05,,,,
B10,,26.17,28.94,66.6,1.12,0.74,2.6,0.05,,,,
B10,,28.94,31.39,66.5,0.8,1.32,2.39,0.05,,,,
B10,,31.39,33.49,67.2,0.98,0.61,1.96,0.05,,,,
B10,,33.49,35.94,66.6,1.4,1.02,2.05,0.06,,,,
B10,,35.94,38.39,65,1.5,1.94,3.1,0.06,,,,
B10,,38.39,40.24,64.8,1.66,2.58,2.6,0.05,,,,
B10,,40.24,42.39,65.5,1.85,1.22,2.9,0.06,,,,
B10,,42.39,44.19,61,6.4,1.57,4.4,0.05,,,,
B10,,44.19,46.64,54,17.06,1.18,4.14,0.05,,,,
B10,,46.64,48.79,55.7,14.9,1.34,3.71,0.05,,,,
B10,,48.79,50.91,58.2,11.3,0.87,4.3,0.05,,,,
B10,,50.91,52.11,54.6,14,1.32,6.3,0.06,,,,
B10,,52.11,53.91,64,3,0.48,4.8,0.07,,,,
B10,,53.91,55.46,60.2,5.36,3.45,4.6,0.06,,,,
B10,,55.46,57.26,63.1,2.27,0.87,0,0,,,,
B10,,57.26,59.11,65.88,1.45,0.81,0,0,,,,
B10,,59.11,60.93,63.8,1.8,0.57,6.2,0.05,,,,
B10,,60.93,63.33,65,1.2,0.7,4.85,0.08,,,,
B10,,63.33,65.78,65.7,1,0.49,4.26,0.04,,,,
B10,,65.78,67,65.9,0.9,0.58,4.01,0.07,,,,
B10,,67,68.55,65.1,0.94,0.4,5.14,0.07,,,,
B10,,68.55,69.75,65.2,1.36,1.18,3.82,0.07,,,,
B10,,69.75,72.2,64.2,1.92,0.65,5.27,0.07,,,,
B10,,72.2,74.05,64,1.38,0.91,5.78,0.07,,,,
B10,,74.05,76.5,63.1,2.82,2.06,4.48,0.07,,,,
B10,,76.5,78.3,64.6,1.98,0.93,4.35,0.07,,,,
B10,,78.3,79.85,64.2,1.62,0.87,5.4,0.06,,,,
B10,,79.85,82,64.6,1,0.82,5.4,0.07,,,,
B10,,82,84.9,64.1,2.2,1.22,4.4,0.07,,,,
B10,,84.9,86.9,64.8,0.84,1.2,5,0,,,,
B10,,86.9,89.02,65,0.74,1.55,4.5,0,,,,
B11,,0,1.22,58,7.5,5.7,3.2,0.05,,,,
B11,,1.22,3.05,54.3,8.56,7.54,5.65,0.06,,,,
B11,,3.05,5.48,58,8,4.56,3.9,0.05,,,,
B11,,5.48,7.62,58.1,7,5.22,4.2,0.06,,,,
B11,,7.62,10.05,58.2,6.4,5.37,4.7,0.06,,,,
B11,,10.05,11.57,59.4,6.6,4.36,3.6,0.06,,,,
B11,,11.57,13.7,59.7,8.1,3.33,2.7,0.06,,,,
B11,,13.7,15.22,61.2,5.94,3.54,2.5,0.06,,,,
B11,,15.22,17.19,55.2,7.9,6.45,6.25,0.06,,,,
B11,,17.19,18.09,43,34.8,1.45,1.7,0.06,,,,
B11,,18.09,22.03,39,39.2,2.53,2,0.06,,,,
B11,,22.03,24.15,52.3,21.5,1.71,1.5,0.06,,,,
B11,,24.15,25.37,48.5,26.26,2.69,1.3,0.06,,,,
B11,,25.37,25.97,41.2,36.46,3.12,1,0.05,,,,
B11,,25.97,28.08,42.4,37.26,1.05,0.7,0.04,,,,
B11,,28.08,30.49,42.3,35.6,2.44,1,0.05,,,,
B12,,0,1.8,61.7,1.86,5.4,4,0.04,,,,
B12,,1.8,3.35,59.9,2.5,6.75,4.5,0.05,,,,
B12,,3.35,6.1,55.4,5.72,8,6.5,0.04,,,,
B12,,6.1,8.5,61.8,3.86,4.26,3,0.04,,,,
B12,,8.5,10.65,63.2,3,3.13,3,0.06,,,,
B12,,10.65,12.8,65,2.5,1.52,2.5,0.05,,,,
B12,,12.8,15.25,66,2.3,1.42,1.4,0.05,,,,
B12,,15.25,17.35,65.6,2.2,1.8,1.7,0.05,,,,
B12,,17.35,19.5,64.4,2,2.24,3.15,0.06,,,,
B12,,19.5,21.65,63.2,3.1,2.98,2.65,0.06,,,,
B12,,21.65,24.4,65.4,1.1,1.18,3.8,0.05,,,,
B12,,24.4,26.5,65.4,2.12,1.06,3,0.06,,,,
B12,,26.5,28.95,65.2,2.52,1.08,2.76,1,,,,
B12,,28.95,30.5,64.3,2.2,1.47,3.85,0.06,,,,
B12,,30.5,32,65.1,1.7,0.96,3.35,0.06,,,,
B12,,32,34.16,66.9,1.2,0.75,2.05,0.06,,,,
B12,,34.16,35.67,66.2,1.8,0.66,2.5,0.05,,,,
B12,,35.67,37.52,60.9,10.2,1.19,2.7,0.06,,,,
B12,,37.52,39.05,65,2,1.05,2.8,0.05,,,,
B12,,39.05,40.55,66,2.2,0.72,2.4,0.05,,,,
B12,,40.55,42.7,66.4,2.54,0.86,1.25,0.05,,,,
B12,,42.7,44.8,65.6,2.88,1.21,1.65,0.07,,,,
B12,,44.8,46.95,64.8,3.16,1.53,2.25,0.09,,,,
B12,,46.95,48.8,67.2,1.38,0.6,1.6,0.05,,,,
B12,,48.8,51.2,66.38,2.06,0.75,1.2,0.05,,,,
B12,,51.2,53.05,49,28.04,0.46,1,0.03,,,,
B12,,53.05,54.9,38.7,42.2,1.01,1.05,0.02,,,,
B12,,54.9,57,38.2,43.26,0.71,1,0.03,,,,
B13,,0,2.44,56.7,4.2,5.77,8.4,0.05,,,,
B13,,2.44,4.28,64,0.9,0.8,6.4,0.06,,,,
B13,,4.28,6.1,64.2,0.72,1.52,5.55,0.06,,,,
B13,,6.1,8.23,64.6,0.86,2.11,4.15,0.07,,,,
B13,,8.23,10.37,52.8,2,11.2,10.6,0.08,,,,
B13,,10.37,12.2,55.8,1.6,8.1,9.9,0.05,,,,
B13,,12.2,14.62,64.1,0.72,1.27,5.95,0.08,,,,
B13,,14.62,16.43,66.1,1.2,0.5,3.5,0.07,,,,
B13,,16.43,18.27,66,1.8,0.72,2.8,0.06,,,,
B13,,18.27,19.49,65.8,2,0.75,2.81,0.05,,,,
B13,,19.49,21.62,66.3,1.42,0.52,2.95,0.03,,,,
B13,,21.62,23.13,65.4,1.24,0.87,3.97,0.05,,,,
B13,,23.13,24.66,61.2,1.8,2.07,8.21,0.09,,,,
